ID	Learning goal	Title 	Time	Location	Tools	Groupsize	Introduction	Main	Examples	Reflection	Tips	Extra
A0404	utforske og beskrive generelle eigenskapar ved partal og oddetal	Dobling og halvering	15	Inne / ute	Ingen 	2	I denne aktiviteten skal elevene bruke kroppen til å vise matematiske operasjoner. En elev tenker på et tall og utfører bevegelser basert på det, mens en annen prøver å regne seg frem til hvilket tall det var.	1. Del klassen opp i par 2. Forklar at én elev skal tenke på et tall og deretter utføre to til tre fysiske handlinger basert på det tallet. 3. Den andre eleven skal observere de ulike bevegelsene og prøve å regne ut hvilket tall den første eleven tenkte på, basert på de fysiske handlingene 4. Skriv på tavla de ulike regneartene: pluss = hopping og minus = tramping  	Eleven tenker på tallet 4. Da hopper hen 10 ganger og tramper 6 ganger. 10 - 6 = 4 	- Hvordan kunne vi bruke de fysiske handlingene til å gjette tallet? - Hva var vanskelig med å gjette tallet, og hva var lett? - Hvordan hjalp handlingene oss med å forstå matematiske operasjoner som addisjon, subtraksjon, halvering og dobling?		
A0405	utforske og beskrive generelle eigenskapar ved partal og oddetal	Kari og Knut - sistemann ut 	15	Ute 	Ingen 	Alle	Denne klassikeren lærer barna og tenke på partall og oddetall på en morsom og leken måte. Målet er å bli partall	1. Elevene står i par på en rekke bakover.  2. Ett barn står alene foran rekken – dette barnet starter leken. 3. Den som står alene roper: “Kari og Knut – sistemann ut!” 4. Det bakerste paret løper fremover, en på hver side av rekken. 5. Den som sto alene løper også fremover og prøver å fange én av dem. 6. Den som blir tatt, danner par med den som sto alene. 7. Den som ikke blir tatt, går frem og overtar rollen som roper. 8. Hvis ingen blir tatt, blir samme elev stående foran og prøver på nytt.		– Hva var vanskelig med å ta igjen en som løp? – Hvordan samarbeidet dere? – Hva gjorde det lettere å klare å fange noen? – Hvordan var det å stå alene foran?	Sørg for at barna vet hvem de skal løpe med og hvilken side de skal ta	
A0501	Beskrive posisjonssystemet ved hjelp av ulike representasjonar	Legobygging med bøker	15	Inne	Bøker, Klosser	4–5	I denne aktiviteten skal elevene bygge lego for å forstå posisjonssystemet og hvordan sifrenes plass påvirker verdien.	1. Del klassen i grupper på 4–5 elever. 2. Læreren gir hvert lag et tall, f.eks. 356. 3. Én elev fra hver gruppe henter bøker/klosser. 4. Gruppene stabler først 3 bøker i hundrerplassen, deretter 5 i tierplassen, og til slutt 6 i enerplassen. 6. Gjenta med nye tall og bytt på hvem som henter og stabler.	En gruppe får tallet 241 og stabler 2 bøker i hundrerfeltet, 4 i tierfeltet og 1 i enerfeltet.	- Hva skjer med tallet hvis du flytter én bok fra ener- til tierplassen? - Hvordan hjalp stablingen deg å forstå verdien til hvert siffer?	Bruk ulike farger på bøkene for hver posisjon hvis mulig. La elevene skrive tallene ved siden av og diskutere hvilken plass som har størst verdi.	
A0502	Beskrive posisjonssystemet ved hjelp av ulike representasjonar	Shopping!	45	Inne	Papirpenger, Prislapper, Konkreter	Alle	I denne aktiviteten skal elevene bruke lekepenger for å utforske pengenes verdi og plassverdisystemet gjennom praktisk regning.	1. Del ut 500 kr i papirpenger til hver elev. 2. Forklar at de skal på shopping og vise fram varene og prisene. 3. Elevene går rundt til ulike “butikker” og kjøper varer ved å bruke riktige pengelapper. 4. De må selv holde oversikt over hvor mye de bruker og hva de har igjen. 5. Etterpå samtaler klassen om erfaringene og hvordan de regnet.	En elev kjøper en burger (50 kr), en badeball (20 kr) og en kjole (150 kr), og regner at de har brukt 220 kr og har 280 kr igjen.	- Hvordan visste du hvilke sedler du skulle bruke? - Klarte du å finne flere måter å betale samme pris på? - Hva lærte du om verdien til pengene?	Bruk ekte objekter for økt realisme. Juster prisene etter nivå. Oppfordre elevene til å finne flere måter å betale på – f.eks. to 50-lapper i stedet for én 100-lapp.	
A0503	Beskrive posisjonssystemet ved hjelp av ulike representasjonar	Kaste på blink	15	Ute	Erteposer, Kritt	4-5	I denne aktiviteten skal elevene utforske plassverdisystemet ved å kaste og regne poeng ut fra hvor de treffer på en blink.	1. Tegn tre sirkler på bakken tett inntil hverandre: venstre = 100 poeng, midten = 10 poeng, høyre = 1 poeng. 2. Forklar at sirklene representerer hundrer-, tier- og enerplass i et tall. 3. Hver elev får tre kast med ertepose. 4. Etter hvert kast noterer de hvor de traff, og regner ut total poengsum. 5. Repeter med nye runder og bytt på hvem som kaster først.	En elev treffer 100, 10 og 1 – og regner ut poengsummen som 111.	- Hvordan visste du hvor mye poeng du fikk totalt? - Hva betyr plasseringen til hvert treff for verdien av tallet?	Tegn poengverdiene tydelig i sirklene. La elevene samarbeide to og to og hjelpe hverandre med å regne. Varier plasseringen for å gjøre det mer utfordrende.	
A0504	Beskrive posisjonssystemet ved hjelp av ulike representasjonar	Beat-box posisjonssystemet	15	Inne	Ingen	2	I denne aktiviteten skal elevene bruke rytme og klapping for å representere og forstå posisjonssystemet.	1. Forklar at taktene representerer posisjoner i et tall (f.eks. hundrer, tiere, enere). 2. Elevene velger eller trekker et tall. 3. De skal lage en rytme med klapping som representerer tallet (f.eks. tre klapp i hundrer, to i tiere, én i enere for tallet 321). 4. Partneren lytter og prøver å gjette hvilket tall rytmen representerer. 5. Bytt roller.	En elev klapper tre ganger i første takt, to i andre og én i tredje – partneren gjetter tallet 321.	- Hvordan hjalp rytmen deg å forstå hvilket tall det var? - Hva skjer om du bytter rekkefølgen på klappene?	Bruk gjerne trommestikker eller bordoverflate for variasjon. Start med lave tall og øk vanskelighetsgrad. Snakk om hvordan rekkefølgen påvirker verdien.	
A0601	plassere tal på tallinja og bruke tallinja i rekning og problemløysing	Fyll tallinja med konkreter	15	Ute	Kritt	Alle	I denne aktiviteten skal elevene bruke konkrete gjenstander for å fylle ut og kontrollere en tallinje sammen.	1. Læreren tegner en tallinje på bakken (f.eks. 0–10). 2. Elevene jobber sammen for å finne konkreter fra naturen som matcher tallene på linja – 2 steiner på 2, 4 kongler på 4 osv. 3. Flere gjenstandstyper kan kombineres for samme tall. 4. Når hele tallinja er fylt opp, får noen elever i hemmelighet rollen som tallskurker. 5. Tallskurker fjerner stille gjenstander. 6. Tallheltene må oppdage endringen og rette opp – finne ut hvilket tall som er feil, og fylle opp igjen.	Elevene legger 5 kongler på tallet 5. Etter hvert er det bare 3 igjen – tallheltene oppdager det og finner 2 nye for å gjøre det riktig.	- Hvordan visste dere at det manglet noe? - Hvilke tall var lettest å holde orden på, og hvorfor?	Bytt på hvem som er tallskurker. Diskuter etterpå hvordan elevene fant ut at noe manglet. Bruk gjerne samtale rundt hvilke strategier de brukte.	
A0602	plassere tal på tallinja og bruke tallinja i rekning og problemløysing	Hopp deg gjennom tallinja	15	Ute	Kritt	2	I denne aktiviteten skal elevene bruke kroppen til å utforske en tallinje og regning gjennom hopping som frosker.	1. Læreren tegner en tallinje på bakken, fra 0 og oppover. 2. Hver elev later som de er en frosk og starter på 0. 3. Elevene hopper framover og ser hvilket tall de lander på. 4. De kan prøve å hoppe fram og tilbake, legge sammen hopp, eller samarbeide i grupper og telle hvor langt de hopper til sammen. 5. Læreren stiller spørsmål underveis for å hjelpe elevene å reflektere over tallene.	En elev hopper tre ganger og lander på 6. En annen hopper 4 og lander på 8. Sammen har de hoppet 14.	- Hvordan visste du hvilket tall du landet på? - Hvordan regnet dere ut hvor langt dere hoppet til sammen?	Tegn tydelige tall på bakken og la elevene bruke både små og store hopp. Spør “Hvor er du nå?” eller “Hvor langt kom dere til sammen?”	
A0603	plassere tal på tallinja og bruke tallinja i rekning og problemløysing	Hjelp Donald Duck med å finne adressen til bestemor 	45	Ute	Oppgavekort, Ark, Skrivesaker	4-5	I denne aktiviteten skal elevene bruke tallinjen aktivt for å løse oppgaver og plassere tall i riktig rekkefølge.	1. Del elevene i små grupper og gi hver gruppe en oppdragsløype med gåter og aktiviteter. 2. Fortell at de skal hjelpe Donald Duck med å finne bestemors adresse ved å følge en rute på en tallinje. 3. Underveis må de løse oppgaver (f.eks. “Hopp 3 ganger fremover”, “Samle 5 kongler”) og føre tallene de kommer til på sin egen tallinje. 4. Etter hver oppgave tegner de streken for hvor langt de har kommet og skriver riktig tall. 5. Når alle har fullført ruten, sammenlignes gruppenes tallinjer og adresser.	En gruppe hopper 3 steg frem (til 3), samler 4 kongler (+4 = 7), og avslutter med å løpe 2 tilbake (–2 = 5). De avslutter på 5 og skriver det på tallinjen sin.	- Hvordan brukte dere tallinjen for å løse oppgavene? - Hvordan visste dere hvilket tall dere kom til etter hvert steg?	Bruk kjente karakterer og lag små historier i hver oppgave. La gruppene tegne sin egen tallinje på papir eller med kritt ute. Pass på at alle får samarbeide om både fysisk og skriftlig del.	???? Gåter?
A0604	plassere tal på tallinja og bruke tallinja i rekning og problemløysing	Utforskning av sanser	15	Ute	Kritt, Tøystykke	2	I denne aktiviteten skal elevene erfare en tallinje og tallrekkefølge gjennom samarbeid der den ene leder den andre.	1. Del elevene i par. 2. Den ene får bind for øynene, den andre er ledsager. 3. Start på et vilkårlig punkt og gå sammen oppover en tenkt tallinje til tallet 10. 4. Ledsageren signaliserer uten ord når de skal stoppe og hvilket tall de har nådd (f.eks. trykk i hånden). 5. Den med bind for øynene tegner en strek og skriver tallet. 6. Fortsett steg for steg til de har nådd tallet 10. 7. Bytt roller.	En elev leder partneren 4 steg fram, trykker fire ganger i hånden, og partneren tegner en strek med tallet 4.	- Hvordan visste du hvilket tall du var på? - Hvordan hjelper det å bruke kroppen til å forstå tallinje?	Be elevene bruke jevne skritt og snakk om hva som skjer hvis avstanden varierer. Diskuter ulike måter å formidle tall nonverbalt på.	
A0605	plassere tal på tallinja og bruke tallinja i rekning og problemløysing	Hoppe paradis 	15	Ute	Kritt, Stein	Alle	I denne aktiviteten skal elevene bruke kropp og bevegelse for å visualisere tallinjen og utforske tallrekkefølge gjennom lek.	1. Tegn paradismønsteret (Vedlagt finner man bilde av mønsteret). 2. Hver rute representerer et tall i stigende rekkefølge. 3. Første spiller kaster en stein i rute 1. 4. Spilleren kan bare ha ett bein i hver rute, så eleven hinker  gjennom rutene i rekkefølge, men hopper over ruten med steinen. 5. På vei tilbake stopper spilleren ved ruten med steinen, plukker den opp og hopper videre til start. 6. Hvis spilleren klarer hele banen uten å tråkke på streker eller bomme, får neste spiller prøve. Fortsett med rute 2 osv.	En elev kaster stein på rute 3, hopper over den og fortsetter på rute 4, 5, halvsirkel, og så tilbake, plukker opp steinen på rute 3 og hopper til start.	- Hvordan brukte du rekkefølgen av rutene til å vite hvor du skulle hoppe? - Hvordan hjelper denne leken deg å forstå tallinjen bedre?	Tegn tall i rutene for å styrke koblingen til tallinje. Still spørsmål som “Hvilket tall kommer før/etter?”. Tilpass vanskelighetsgrad ved å endre antall ruter.	
A0701	utforske addisjon og subtraksjon og bruke dette til å formulere og løyse problem frå leik og eigen kvardag	Rødt og grønt lys 	15	Ute	Ingen	Alle	I denne aktiviteten skal elevene øve på å legge til og trekke fra ved å samle og holde oversikt over poeng i en variant av leken "Rødt og grønt lys".	1. Læreren står i enden av banen og vender ryggen til. 2. Elevene står på en startstrek. 3. Når læreren roper “Grønt lys!”, kan elevene bevege seg framover og får f.eks. +2 poeng. 4. Når læreren roper “Rødt lys!”, må elevene stå stille. Beveger noen seg, får de –1 poeng. 5. Elevene må hele tiden holde oversikt over sin egen poengsum. 6. Leken avsluttes når noen når mållinjen. 7. På slutten regner elevene ut totalsummen sin.	En elev får +2, +2, –1 og +2 poeng i løpet av leken og regner ut totalen: 2 + 2 – 1 + 2 = 5 poeng.	- Hvordan holdt du oversikt over poengene dine? - Hvordan brukte du hoderegning for å finne totalsummen?	Bruk fingersymboler eller farger for “grønt” og “rødt” hvis det hjelper. Gi variasjoner i poeng for ekstra utfordring. La elevene føre poeng med steiner eller ark hvis det er vanskelig å huske.	
A0702	utforske addisjon og subtraksjon og bruke dette til å formulere og løyse problem frå leik og eigen kvardag	Enspretten - med en addisjons- og subtraksjonsvri 	15	Ute	Ball, Papir, Skrivesaker	4-5	I denne aktiviteten skal elevene bruke kropp og hoderegning for å samle og regne ut poeng i en variant av enspretten.	1. Del elevene i små grupper. 2. Forklar at hver kroppsdel gir ulik poengsum (f.eks. hånd = -1, lår = +1, fot = +2). 3. Elevene skal holde ballen i spill så lenge de klarer – én poenggivende berøring per gang. 4. To–tre elever fører poeng og regner sammen totalen underveis. 5. Bytt roller etter en stund slik at alle får spille og telle. 6. Etter runden skal gruppene legge sammen poengene og diskutere hvilke kombinasjoner som ga høyest sum.	En elev bruker hånden (–1), en annen låret (+1), og en tredje foten (+2). Poeng: –1 + 1 + 2 = 2.	- Hvilke kroppsdeler ga flest poeng? - Hvordan regnet dere ut totalsummen? - Hvordan påvirket poengsystemet måten dere spilte på?	Tilpass poengsystemet etter nivå. La elevene selv finne på poengverdier og diskutere hvilke strategier som gir høy score. Introduser begreper som “differanse”, “sum” og “kombinasjon”.	
A0703	utforske addisjon og subtraksjon og bruke dette til å formulere og løyse problem frå leik og eigen kvardag	Minus og pluss	15	Ute	Ingen	Alle	I denne aktiviteten skal elevene erfare forskjellen på addisjon og subtraksjon gjennom bevegelse og samspill.	1. Elevene står i en sirkel og holder hender. 2. Velg én elev som “pluss” og én som “minus”. 3. Pluss og minus løper innenfor sirkelen – minus prøver å ta pluss. 4. De andre elevene kan hjelpe pluss ved å holde opp hendene og lage åpninger slik at pluss kan løpe ut og inn av sirkelen. 5. Minus kan også følge, men må finne egne åpninger. 6. Når pluss blir tatt, byttes rollene og nye elever prøver.	Minus løper etter pluss, men pluss slipper unna ved at to elever løfter hendene så hen kan smette ut – minus må løpe rundt for å komme etter.	- Hva tror du skjer når vi “plusser på”? - Hvordan kjentes det å være minus og prøve å ta igjen pluss? - Hvordan henger dette sammen med regnestykker vi gjør i matte?	Introduser begreper som “plusser på”, “trekker fra”, og “fjerner”. Snakk om hvordan minus alltid følger etter pluss – og hvordan de er motsatte handlinger.	
A0704	utforske addisjon og subtraksjon og bruke dette til å formulere og løyse problem frå leik og eigen kvardag	Høl i hatten 	15	Ute	Basketball	5-6	I denne aktiviteten skal elevene trene på tallforståelse, addisjon og subtraksjon ved å løse ledetråder og handle raskt i lek.	1. Del klassen i mindre grupper. 2. I hver gruppe velges én trollmann som tenker på et tall og holder basketballen. 3. De andre er hekser og gjetter tallet, én og én. 4. Trollmannen gir hint underveis, f.eks. “Større enn 5 og mindre enn 15”. 5. Når noen gjetter riktig, sier ikke trollmannen noe før alle i runden har gjettet. 6. Da roper trollmannen “Høl i hatten på [navn]!” og spretter ballen i bakken. 7. Trollmannen løper bort, mens den som gjettet riktig henter ballen, roper “stopp”, tar 3 skritt og prøver å kaste ballen gjennom armringen til trollmannen. 8. Bytt roller og spill igjen.	En elev tenker på tallet 12. Når en heks gjetter 10, sier trollmannen: “Det er større enn 10 og mindre enn 15.” Til slutt gjetter noen 12 og får prøve å treffe.	- Hvordan fant du fram til riktig tall? - Hvilke hint hjalp deg mest? - Hva slags regnestykker brukte du for å sjekke mulige tall?	La elevene bruke små kort eller tallinje for å støtte tenkningen. Øv på å formulere presise hint og bruk samtale for å forklare hvordan man tenker seg fram til et tall.	
A0801	utforske den kommutative og den assosiative egenskapen ved addisjon og bruke dette i hoderegning	Prikken 	15	Ute	Ball	Alle	I denne aktiviteten skal elevene trene på hoderegning ved å holde oversikt over prikker og vurdere risiko i et spill med tall.	1. Alle spillerne stiller seg på en rekke bak en linje. Én elev starter som keeper. 2. Førstemann skyter på mål – scorer man, får keeperen en prikk. 3. Bommer man eller keeper redder, må skytteren inn i mål som ny keeper. Keeperen går da bakerst i køen. 4. Hver spiller holder styr på sine egne prikker. 5. Når en spiller får to prikker, er de ute. 6. Fortsett til det bare er én spiller igjen – denne vinner.	En spiller sier: “Jeg har én prikk – hvis jeg scorer nå, er keeperen ute!” – og velger å ta et hardt skudd.	- Hvordan visste du hvor mange prikker du eller andre hadde? - Hva slags regnestykker brukte du underveis?	- La elevene føre prikker med små steiner eller på tavle for å støtte hoderegningen. Diskuter hvordan de tenker når de velger strategi. - Hvis man ikke har tilgang på fotballmål så kan man bruke en vegg.	
A0802	utforske den kommutative og den assosiative egenskapen ved addisjon og bruke dette i hoderegning	Haien kommer	15	Ute	Tallkort	Alle	I denne aktiviteten skal elevene utforske addisjon gjennom lek ved å bruke tallkombinasjoner for å unngå å bli tatt av haien.	1. Marker øyer på lekeområdet og legg et tall (f.eks. 3, 4, 5, 6) på hver øy. 2. Forklar at 8 er et "trygt tall". Hvis to elever står på øyer hvor tallene summerer seg til 8, kan de løpe sammen og være trygge. 3. Én elev er hai og står i midten. 4. Haien roper “Øy [nummer] ut og svøm!” og de på den øya begynner å bevege seg rundt haien. 5. Når haien roper “Haien kommer!”, må de løpe til en ny øy – enten alene, eller sammen med en annen elev slik at deres tall blir 8. 6. Blir de tatt, blir de også haier. 7. Leken gjentas til én fisk står igjen.	En elev står på øy 3 og finner en elev fra øy 5. Sammen løper de over som en trygg duo fordi 3 + 5 = 8.	- Hvilke tallpar ga 8? - Hvordan visste du at det var trygt å løpe med en annen? - Hva lærte du om å legge sammen tall i hodet?	Bytt ut trygge tall og legg inn nye summer etter hvert. Diskuter hvordan ulike kombinasjoner gir samme resultat (f.eks. 3+5 og 5+3).	
A0901	kjenne igjen og beskrive repeterende enheter i mønstre og lage egne mønstre	Klappelek 	5	Inne	Ingen	2	I denne aktiviteten skal elevene lage og utforske repeterende mønstre gjennom en klappelek.	1. Del elevene i par. 2. Hvert par lager et klappemønster sammen – de kan finne på sitt eget eller herme etter et annet par. 3. La dem øve og gjenta mønsteret flere ganger. 	Et par klapper: egne hender – partnerens hender – knær – partnerens hender – gjentas.	- Hvordan visste du hva som kom etter i mønsteret? - Hva gjorde mønsteret enkelt eller vanskelig å huske?	Oppmuntre til kreativitet og samarbeid. Spør gjerne: "Hva skjer etter dette klappet?" for å styrke bevisstheten om mønster.	
A0902	kjenne igjen og beskrive repeterende enheter i mønstre og lage egne mønstre	Kråka 	15	Inne/Ute	Tennisballer	Alle	I denne aktiviteten skal elevene utforske og gjenskape mønstre gjennom bevegelse og ballkast.	1. Del elevene i to rekker som stiller seg etter hverandre nær en vegg. 2. Førstemann i hver rekke kaster en tennisball på veggen og utfører et selvvalgt mønster (for eksempel hoppe over ballen når den spretter tilbake, klappe før man tar den, snurre rundt, etc.). 3. Alle andre i rekka skal gjenta akkurat samme mønster. 4. Når alle har utført mønsteret, går personen foran bakerst i rekka, og ny person bestemmer nytt mønster. 5. Fortsett til alle har fått prøve.	En elev kaster ballen på veggen, klapper to ganger og fanger ballen. Hele rekka utfører samme bevegelsesmønster før neste elev lager et nytt.	- Hvilket mønster var lett å gjenta? - Hvordan visste du hva som kom neste i mønsteret?	Ta pauser innimellom for å diskutere hvilke mønstre som er like eller ulike. Oppmuntre elevene til å bruke både kropp og ball på kreative måter.	
A1001	utforske, tegne og beskrive geometriske figurer fra sitt eget nærmiljø og argumentere for måter å sortere dem på etter egenskaper	Slå på ring 	15	Ute	Ingen	Alle	I denne aktiviteten skal elevene få en kroppslig forståelse av omkrets ved å bevege seg rundt ulike geometriske figurer.	1. Del klassen inn i grupper og la dem stille seg opp i form av ulike figurer: sirkel, trekant, firkant, rektangel. 2. Alle elevene skal synge regla "Slå på [figur], slå på [figur], slå på hvem du vil, slå på kjæresten din om du vil, er du snill. Den du slår den slår du så hardt, så hardt, så hardt, så hardt....." imens en elev løper rundt formen. 3. Eleven som løper plukker seg ut en annen elev som den slår på ryggen.  4. Da er det første-mann til å nå tilbake til der eleven sto som vinner plassen.  4. Den som ikke rekker rundt før den andre, må løpe rundt formen igjen. 5. Gjenta med nye figurer. 6. Etter et par runder samles klassen og reflekterer over hvilke figurer som tok lengst tid å løpe rundt. 	Elevene former en trekant. De synger regla mens én elev løper rundt. Etter å ha slått en annen på ryggen, løper begge – den som ikke når tilbake først må løpe en runde til.	- Hvilken figur var raskest å løpe rundt? - Hvordan kan formen påvirke hvor lang tid det tar å løpe?	La elevene selv velge rekkefølge på figurene, og snakk om hvordan lengden rundt påvirker hvor sliten man blir. Marker figurene på bakken med tau eller kjegler hvis det er vanskelig å se formen.	
A1002	utforske, tegne og beskrive geometriske figurer fra sitt eget nærmiljø og argumentere for måter å sortere dem på etter egenskaper	Alle mann av hus 	15	Ute	Kritt	Alle	I denne aktiviteten skal elevene øve på å kjenne igjen og sortere geometriske figurer gjennom leken "Alle mann av hus"	1. Tegn opp ulike geometriske figurer på bakken (f.eks. trekanter, sirkler, kvadrater, rektangler). 2. Alle barna starter inne i et område kalt “hus”. 3. Én elev står utenfor og roper “Alle mann av hus + [figur]” (f.eks. “Alle mann av hus – trekanter!”). 4. Barna som er i huset formet som en trekant må da løpe ut og finne et nytt hus med en ny form. 5. Den som roper, prøver å ta så mange som mulig mens de løper. 6. De som blir tatt, hjelper til i neste runde. 7. Leken fortsetter til alle er tatt eller alle har vært ute.	Læreren roper “Alle mann av hus – sirkler!” og barna som er i huset formet som en sirkel må løpe fra sitt nåværende hus til et annet hus som ikke er formet som en sirkel.	- Hvordan fant du ut hvilken figur du skulle løpe til? - Hva slags likheter og forskjeller har figurene vi brukte?	Bruk mange figurer og variasjon i størrelse. Etter leken kan elevene sortere figurer etter hjørner, kanter eller symmetri.	
A1003	utforske, tegne og beskrive geometriske figurer fra sitt eget nærmiljø og argumentere for måter å sortere dem på etter egenskaper	Hauk og due 	15	Ute	Figurkort	Alle	I denne aktiviteten skal elevene utforske og sortere geometriske figurer gjennom lek.	1. Del ut ett kort med en geometrisk figur til hver elev. 2. Velg én elev som hauk og én som figur-mor. 3. Figur-mor står på én side av banen, hauken i midten, og resten på motsatt side. 4. Figur-mor roper: “Alle mine duer som har [figur], kom hjem til meg!” 5. Barna med riktig figur svarer: “Vi tør ikke, for hauken tar oss!” og så: “Men kom allikevel!” 6. Barna med den figuren løper over – blir de tatt av hauken, blir de også hauker. 7. Fortsett til alle er tatt.	Figur-mor roper: “Alle som har trekanter, kom hjem!” og barna med trekantkort løper mens hauken prøver å fange dem.	- Hvordan visste du hvilken figur du hadde? - Hva har figurene til felles, og hva er forskjellig?	Det går også an å gi hver elev en figur istedenfor å bruke figurkort. 	
A1101	måle og sammenligne størrelser som gjelder lengde og areal, ved hjelp av ikke-standardiserte og standardiserte måleenheter, beskrive hvordan og samtale om resultatene	Spensthopp 	15	Ute	Ingen	2	I denne aktiviteten skal elevene utforske måling av lengde ved hjelp av ikke-standardiserte måleenheter.	1. Del elevene i par. 2. Hver elev hopper så langt de klarer fra en startlinje. 3. Den andre i paret måler hoppet med skritt og teller antall skritt. 4. Bytt roller. 5. Elevene kan ta flere hopp og legge sammen lengdene.	En elev hopper og partneren måler hoppet med sine egne skritt: “Hoppet var 5 skritt langt.”	- Hva lærte du om hvordan vi kan måle noe? - Hvordan påvirker måleenheten (skritt) resultatet?	Be elevene bruke samme måleenhet (f.eks. egne skritt) gjennom hele økta. La dem sammenligne resultatene og reflektere over ulikheter.	
A1201	forklare hvordan man kan beskrive tid ved hjelp av klokke og kalender	15-gjelder 	15	Ute	Ingen	Alle	I denne aktiviteten skal elevene utforske hvordan tid fungerer, ved å telle baklengs og erfare at tiden "går nedover".	1. En elev velges som teller og lukker øynene. 2. Telleren roper “15 gjelder!” og teller baklengs fra 15 til 0. 3. De andre elevene tar på telleren og løper for å gjemme seg. 4. Når telleren når 0, åpner han øynene, tar to skritt og prøver å finne så mange som mulig. 5. De som blir funnet, er ute. 6. Telleren teller baklengs fra ett lavere tall neste runde. 7. Slik fortsetter leken til alle er funnet. 8. Den som blir funnet sist, er neste teller.	Telleren roper “15 gjelder!” og begynner å telle – de andre løper og gjemmer seg, og runden repeteres med nedtelling fra 14 neste gang.	- Hvordan opplevde du å telle nedover i leken? - Hvordan henger denne leken sammen med hvordan vi bruker tid i hverdagen?	Varier starttallet ut fra tid og gruppestørrelse. Snakk gjerne med elevene om hvordan baklengstelling henger sammen med måling av tid.	
A1202	forklare hvordan man kan beskrive tid ved hjelp av klokke og kalender	Kongen befaler! 	5	Inne	Ingen	Alle	I denne aktiviteten skal læreren si en bafaling som handler om tid, også skal elevene gjøre den tingen de oftest gjør på det tidspunktet. 	1. Læreren sier Kongen befaler med et tidspunkt, for eksempel: "Kongen befaler at nå er klokken 7!" 2. Elevene skal prøve å mime hva de ville gjort på det tidspunktet. 	 - Læreren sier et klokkeslett, f.eks. “Klokken er 07:00”. Noen elever legger seg ned for å sove, andre spiser, noen pusser tennene.  -  Lærer sier: “Klokken er 12:00” → Elevene later som de spiser lunsj.	- Hvordan kan klokkeslett hjelpe oss med å planlegge dagen? - Hvilke tider på dagen er viktigst for deg, og hvorfor? - Hvordan hjelper kalender og klokke oss i hverdagen?	- Bruk bilder av klokkeslett som støtte. - Still oppfølgingsspørsmål: “Hva gjør du før/etter dette?” - Varier med tider på både dag og kveld.	
A1301	lage og følge regler og trinnvise instruksjoner i lek og spill	Strikk-leken	15	Ute	Strikk	4	I denne aktiviteten skal elevene øve på å følge regler og instruksjoner ved å utføre en kjent hoppelek.	1. Del klassen i grupper på fire. 2. To elever står i hver sin ende og holder strikken med beina. 3. De to andre elevene hopper etter en fast regle. 4. Reglene kan være for eksempel “inn, ut, hopp, kryss” og skal følges nøyaktig. 5. Bytt roller etter noen runder.	To elever hopper i strikken mens de sier “inn, ut, inn, hopp” og følger mønsteret nøyaktig.	- Hvordan hjalp det å kunne reglene på forhånd? - Hva var mest utfordrende med å følge mønsteret?	Husk å øve inn reglene i forkant. Strikken kan heves etter hvert for større utfordring. Oppmuntre til samarbeid og rettferdig bytting.	
A1302	lage og følge regler og trinnvise instruksjoner i lek og spill	danseleken 	5	Inne	Ingen	Alle	I denne aktiviteten skal elevene øve på å følge regler og instruksjoner gjennom lek.	1. Læreren setter på en sang. 2. Elevene danser fritt til musikken. 3. Når læreren stopper musikken, skal alle fryse og stå helt stille. 4. Dersom alle står stille, starter musikken igjen. 5. Gjenta i flere runder.	Læreren setter på en poplåt og stopper brått – elevene fryser og står som statuer.	- Hvordan opplevde du å følge reglene i denne leken? - Hva gjør det vanskelig eller lett å stoppe raskt?	Velg en sang elevene liker for å øke motivasjonen – øk gjerne vanskelighetsgraden ved å stoppe musikken oftere.	
